IP	Port	Protocol
106.209.192.112	10081	unknown
106.209.192.112	61153	unknown
106.209.192.235	46560	unknown
106.209.193.141	37568	unknown
106.209.194.29	11616	unknown
106.209.194.29	17248	unknown
106.209.195.115	19808	unknown
106.209.195.115	22657	unknown
106.209.195.115	56472	unknown
106.209.195.115	62305	unknown
106.209.195.115	9265	unknown
106.209.195.115	9664	unknown
106.209.195.134	35326	unknown
106.209.200.199	36513	unknown
106.209.201.161	48736	unknown
106.209.210.139	23936	unknown
106.209.210.139	49600	unknown
106.209.219.169	49248	unknown
106.209.227.20	18912	unknown
106.209.227.20	20129	unknown
106.209.227.20	39680	unknown
106.209.227.20	58337	unknown
106.209.227.206	31840	unknown
106.209.227.206	37952	unknown
106.209.234.63	45024	unknown
106.209.235.126	53498	unknown
106.209.240.156	23872	unknown
106.209.249.134	52192	unknown
106.210.179.98	23228	unknown
106.210.207.13	46465	unknown
106.211.4.194	17250	unknown
106.215.174.156	24032	unknown
106.216.104.175	42721	unknown
106.216.104.175	52673	unknown
106.216.119.83	50061	unknown
106.216.140.214	13505	unknown
106.216.244.84	12321	unknown
106.216.244.84	20065	unknown
106.216.244.84	24673	unknown
106.216.244.84	35457	unknown
106.216.244.84	4039	unknown
106.216.244.84	41057	unknown
106.216.246.115	45611	unknown
106.216.254.35	9697	unknown
106.216.87.190	65057	unknown
106.217.123.188	8385	unknown
106.217.125.130	29789	unknown
106.217.189.37	17216	unknown
106.217.189.37	22758	unknown
106.217.189.37	25312	unknown
106.217.189.37	3296	unknown
106.217.189.37	37696	unknown
106.217.189.37	48864	unknown
106.217.189.37	51425	unknown
106.219.143.6	50017	unknown
106.219.187.10	9089	unknown
106.219.204.157	23969	unknown
106.219.204.157	34311	unknown
106.219.204.157	38817	unknown
106.219.204.157	41185	unknown
106.219.204.157	54085	unknown
106.219.204.157	7613	unknown
106.219.2.158	3405	unknown
106.219.225.187	6945	unknown
106.219.229.132	35969	unknown
106.219.231.176	2553	unknown
106.219.231.176	6017	unknown
106.219.232.122	28129	unknown
106.219.232.122	60064	unknown
106.219.232.238	50785	unknown
106.219.236.6	35649	unknown
106.219.236.6	64751	unknown
106.219.238.97	8673	unknown
106.219.239.4	3040	unknown
106.219.245.0	15681	unknown
106.219.245.0	26465	unknown
