IP	Port	Protocol
10.79.1.10	26752	unknown
10.79.1.10	27041	unknown
10.79.1.10	27474	unknown
10.79.1.10	27872	unknown
10.79.1.10	28128	unknown
10.79.1.10	28384	unknown
10.79.1.10	28512	unknown
10.79.1.10	28769	unknown
10.79.1.10	28809	unknown
10.79.1.10	29003	unknown
10.79.1.10	29184	unknown
10.79.1.10	29254	unknown
10.79.1.10	2977	unknown
10.79.1.10	29889	unknown
10.79.1.10	30089	unknown
10.79.1.10	30649	unknown
10.79.1.10	30849	unknown
10.79.1.10	30969	unknown
10.79.1.10	31021	unknown
10.79.1.10	31361	unknown
10.79.1.10	31585	unknown
10.79.1.10	31713	unknown
10.79.1.10	32096	unknown
10.79.1.10	32481	unknown
10.79.1.10	32535	unknown
10.79.1.10	32687	unknown
10.79.1.10	32916	unknown
10.79.1.10	3296	unknown
10.79.1.10	33187	unknown
10.79.1.10	33542	unknown
10.79.1.10	34017	unknown
10.79.1.10	34135	unknown
10.79.1.10	34435	unknown
10.79.1.10	34976	unknown
10.79.1.10	35169	unknown
10.79.1.10	35200	unknown
10.79.1.10	35235	unknown
10.79.1.10	35316	unknown
10.79.1.10	35714	unknown
10.79.1.10	35971	unknown
10.79.1.10	36162	unknown
10.79.1.10	36215	unknown
10.79.1.10	36449	unknown
10.79.1.10	36772	unknown
10.79.1.10	36900	unknown
10.79.1.10	36914	unknown
10.79.1.10	37204	unknown
10.79.1.10	37309	unknown
10.79.1.10	37766	unknown
10.79.1.10	38051	unknown
10.79.1.10	38368	unknown
10.79.1.10	38373	unknown
10.79.1.10	38624	unknown
10.79.1.10	38876	unknown
10.79.1.10	38943	unknown
10.79.1.10	39052	unknown
10.79.1.10	39308	unknown
10.79.1.10	39457	unknown
10.79.1.10	40195	unknown
10.79.1.10	40276	unknown
10.79.1.10	40277	unknown
10.79.1.10	40280	unknown
10.79.1.10	40286	unknown
10.79.1.10	40384	unknown
10.79.1.10	40590	unknown
10.79.1.10	41057	unknown
10.79.1.10	4165	unknown
10.79.1.10	42374	unknown
10.79.1.10	42400	unknown
10.79.1.10	42659	unknown
10.79.1.10	42809	unknown
10.79.1.10	43464	unknown
10.79.1.10	43648	unknown
10.79.1.10	43680	unknown
10.79.1.10	43840	unknown
10.79.1.10	43905	unknown
10.79.1.10	44162	unknown
10.79.1.10	44166	unknown
10.79.1.10	44697	unknown
10.79.1.10	45024	unknown
10.79.1.10	45028	unknown
10.79.1.10	4518	unknown
10.79.1.10	45824	unknown
10.79.1.10	45889	unknown
10.79.1.10	46564	unknown
10.79.1.10	46568	unknown
10.79.1.10	46818	unknown
10.79.1.10	46944	unknown
10.79.1.10	47014	unknown
10.79.1.10	47110	unknown
10.79.1.10	47200	unknown
10.79.1.10	47396	unknown
10.79.1.10	47427	unknown
10.79.1.10	47584	unknown
10.79.1.10	47904	unknown
10.79.1.10	48256	unknown
10.79.1.10	4831	unknown
10.79.1.10	48481	unknown
10.79.1.10	48545	unknown
10.79.1.10	48823	unknown
10.79.1.10	49151	unknown
10.79.1.10	49440	unknown
10.79.1.10	49894	unknown
10.79.1.10	49921	unknown
10.79.1.10	50054	unknown
10.79.1.10	50096	unknown
10.79.1.10	50309	unknown
10.79.1.10	50817	unknown
10.79.1.10	50843	unknown
10.79.1.10	51057	unknown
10.79.1.10	5123	unknown
10.79.1.10	5126	unknown
10.79.1.10	51330	unknown
10.79.1.10	51417	unknown
10.79.1.10	51545	unknown
10.79.1.10	5156	unknown
10.79.1.10	51879	unknown
10.79.1.10	51969	unknown
10.79.1.10	52097	unknown
10.79.1.10	52431	unknown
10.79.1.10	5257	unknown
10.79.1.10	5282	unknown
10.79.1.10	5283	unknown
10.79.1.10	53472	unknown
10.79.1.10	54176	unknown
10.79.1.10	54345	unknown
10.79.1.10	5441	unknown
10.79.1.10	55104	unknown
10.79.1.10	55360	unknown
10.79.1.10	55481	unknown
10.79.1.10	55618	unknown
10.79.1.10	55630	unknown
10.79.1.10	55683	unknown
10.79.1.10	55811	unknown
10.79.1.10	56289	unknown
10.79.1.10	56835	unknown
10.79.1.10	56997	unknown
10.79.1.10	5700	unknown
10.79.1.10	57089	unknown
10.79.1.10	57697	unknown
10.79.1.10	58177	unknown
10.79.1.10	58816	unknown
10.79.1.10	58850	unknown
10.79.1.10	59042	unknown
10.79.1.10	59086	unknown
10.79.1.10	59105	unknown
10.79.1.10	59172	unknown
10.79.1.10	59206	unknown
10.79.1.10	59266	unknown
10.79.1.10	60035	unknown
10.79.1.10	60096	unknown
10.79.1.10	60293	unknown
10.79.1.10	60900	unknown
10.79.1.10	60917	unknown
10.79.1.10	6115	unknown
10.79.1.10	61504	unknown
10.79.1.10	61519	unknown
10.79.1.10	61805	unknown
10.79.1.10	61825	unknown
10.79.1.10	62088	unknown
10.79.1.10	62510	unknown
10.79.1.10	62561	unknown
10.79.1.10	62791	unknown
10.79.1.10	62989	unknown
